drug,var_gt,var_pred,diff
704473,1.4511,1.4558,0.0047
10459196,0.3331,0.338,0.005
11485656,0.3852,0.3987,0.0135
9952773,0.8869,0.87,0.0168
9910224,0.2917,0.2635,0.0282
10172943,1.6302,1.5981,0.0321
10077147,0.5584,0.5259,0.0325
11647372,2.358,2.3121,0.0459
10074640,1.9876,1.9323,0.0553
5113032,0.2486,0.1782,0.0704
53302361,2.4268,2.5199,0.0931
10451420,1.5195,1.4254,0.0941
56965967,0.5684,0.6656,0.0972
11609586,0.8975,0.7994,0.098
49821040,0.1368,0.0349,0.1019
11634725,2.0072,1.8907,0.1165
66577006,0.7229,0.6031,0.1198
57339144,0.4056,0.2715,0.1341
24951314,2.4809,2.6171,0.1362
11844351,2.2406,2.3913,0.1507
9907093,0.2696,0.1139,0.1557
2733526,0.416,0.2601,0.1559
11960529,0.4645,0.306,0.1584
56962337,0.1728,0.3336,0.1608
4261,0.7011,0.8633,0.1622
11626927,0.3612,0.1984,0.1628
11617559,0.2596,0.0899,0.1697
25257557,3.0902,2.9188,0.1714
78243717,0.4348,0.2515,0.1833
9874913,0.3139,0.1259,0.188
5291,0.4373,0.2485,0.1888
16038120,0.8842,1.0806,0.1964
24889392,0.6789,0.4706,0.2082
25124816,0.2941,0.0853,0.2088
447912,0.6457,0.3932,0.2525
54685215,0.6877,0.4298,0.2579
5280757,0.546,0.2849,0.2611
4263900,2.0542,1.7896,0.2646
53394750,0.9816,0.7167,0.2649
11624601,0.3785,0.1079,0.2706
10302451,1.1499,0.8766,0.2733
24776445,0.4473,0.1726,0.2747
5717801,0.334,0.0512,0.2828
49806720,0.5638,0.2725,0.2913
9911830,0.689,0.397,0.292
3218,0.9492,0.6419,0.3073
5384616,1.1323,0.8204,0.3119
176158,0.738,0.4206,0.3174
5394,0.5912,0.2495,0.3417
85668777,0.4785,0.1348,0.3437
637858,0.7555,0.411,0.3445
9858940,0.5688,0.2213,0.3475
5460769,2.9634,2.604,0.3594
11493598,0.7101,0.3477,0.3623
5746,1.7568,1.3919,0.3649
9813758,1.3743,1.0037,0.3706
11626560,0.6901,0.314,0.3761
10341154,0.7948,0.4132,0.3816
10096043,2.9875,2.5933,0.3942
11364421,0.9511,1.3569,0.4058
46843772,0.6539,0.2362,0.4177
3005532,0.6495,0.2302,0.4193
10461815,0.6618,0.2304,0.4314
448013,2.0766,1.642,0.4347
9884685,4.7683,4.3315,0.4368
156422,0.5674,0.1261,0.4413
9938202,0.6762,0.2275,0.4487
44450571,0.7229,0.2727,0.4502
24825971,1.6676,1.2104,0.4572
36462,3.4919,3.0341,0.4578
11316960,0.9333,0.4589,0.4744
51371303,0.7228,0.2471,0.4757
644215,1.8922,1.4099,0.4823
49836027,1.9634,1.4744,0.489
16722836,2.1998,1.7014,0.4983
24756910,2.7223,2.2171,0.5052
16747388,3.8581,3.35,0.5081
24826799,1.4144,1.928,0.5136
17755052,1.1856,0.6687,0.5169
126941,1.8846,1.3575,0.5271
44551660,2.7209,2.1737,0.5472
216326,0.7944,0.2448,0.5496
23725625,0.984,0.4328,0.5512
9956222,1.422,0.8658,0.5562
5311,1.1329,0.5745,0.5584
216239,0.8438,0.2672,0.5766
10109823,1.086,0.509,0.5771
54676905,0.9033,0.3238,0.5795
16760646,1.5585,0.9785,0.58
11178236,1.692,1.1119,0.5801
11977753,1.4004,0.7909,0.6095
3796,0.8856,0.2759,0.6097
444795,1.2894,0.6683,0.6212
11754511,3.0428,2.4194,0.6234
3463933,1.3162,0.6848,0.6314
2726824,0.7782,0.1441,0.6342
71271629,1.2147,0.5789,0.6358
46883536,0.8415,0.2024,0.6392
9956119,1.1254,0.4858,0.6396
1401,0.958,0.3125,0.6455
11455910,1.175,0.5247,0.6502
42642645,1.7879,1.1324,0.6555
11713159,1.2856,0.6252,0.6604
9826528,4.0694,3.4086,0.6608
10384072,1.366,0.7041,0.6618
6918289,2.0081,1.3361,0.672
5327091,1.0295,0.3538,0.6758
24180719,2.2552,1.5622,0.6929
9943465,1.0754,0.3771,0.6984
2314623,0.8595,0.1597,0.6997
9868037,1.4233,0.7029,0.7204
6753378,1.2844,0.5607,0.7236
11404337,1.8912,2.616,0.7248
5459322,0.9221,0.1971,0.7251
42640,1.938,1.2124,0.7256
25195352,2.0258,1.2717,0.7541
46885626,7.6681,6.9104,0.7577
6918848,3.9507,3.1917,0.7589
11338033,3.1369,2.3699,0.767
10027278,2.7967,2.0151,0.7817
46930998,1.048,0.2531,0.7949
3385,2.3009,1.5048,0.7961
6918638,2.9555,2.1362,0.8193
11707110,5.625,4.8036,0.8214
176870,1.8391,1.0163,0.8228
6710780,2.3089,1.4809,0.828
148124,1.9343,1.1058,0.8285
10127622,2.2574,1.4283,0.8291
53340664,7.3727,6.5386,0.8341
9931953,1.1889,0.3504,0.8385
9914412,1.2823,0.4374,0.8449
44462760,1.6915,0.832,0.8595
25167777,2.966,2.1022,0.8638
123631,1.6859,0.8085,0.8775
44632017,2.2257,1.3469,0.8788
25262965,1.924,1.0337,0.8903
44182295,3.2403,2.3488,0.8915
65110,1.0352,0.137,0.8982
2375,1.2215,0.311,0.9105
25102847,1.8808,0.9619,0.9189
11625818,1.9145,0.9882,0.9263
160355,1.231,0.3032,0.9277
5278396,1.391,0.4521,0.9388
6253,1.9654,1.0153,0.9501
44137675,1.486,0.5345,0.9515
44143370,1.6165,0.6631,0.9534
5311497,2.8039,1.8479,0.956
9967941,1.3626,0.3903,0.9723
5328940,2.3866,1.3939,0.9928
5208,1.7178,0.7019,1.0159
16663089,1.9159,0.8949,1.0209
25022668,2.6803,1.657,1.0233
82146,1.3348,0.3089,1.0259
10196499,1.848,0.8197,1.0284
9863776,2.3926,1.3614,1.0312
25222038,1.567,0.5335,1.0335
11152667,2.715,1.6786,1.0363
44224160,4.6837,3.6219,1.0618
5311510,3.3218,2.2527,1.0691
16725726,4.2707,3.1985,1.0722
84691,1.8662,0.788,1.0783
76044,1.7989,0.7152,1.0836
11433190,1.652,0.5581,1.0939
44819241,3.026,1.9269,1.0991
9549184,4.5734,3.4712,1.1022
5494449,3.6007,2.4962,1.1046
208908,2.5522,1.4397,1.1124
104842,2.1161,0.9443,1.1719
9826308,2.414,1.242,1.172
31703,4.0491,2.8741,1.1751
9903786,3.134,1.9199,1.2141
11373846,2.4221,1.1645,1.2576
6914657,6.5853,5.3175,1.2678
46224516,1.9959,0.7126,1.2833
11327430,1.8623,0.5723,1.29
46931012,2.6406,1.345,1.2956
46191454,4.2003,2.9039,1.2965
5289247,2.3743,1.0776,1.2967
24785538,2.0555,0.7583,1.2972
9810884,2.904,1.6002,1.3038
11676786,3.6827,2.3635,1.3192
24978538,4.5606,3.2152,1.3454
6505803,2.6543,1.3064,1.3479
6445562,3.9611,2.6029,1.3582
5330286,2.5486,1.1873,1.3613
7251185,2.0844,0.7148,1.3696
6852167,2.5899,1.2196,1.3703
159324,2.9586,1.525,1.4336
16095342,1.8786,0.4309,1.4477
462382,2.4703,0.9967,1.4736
10390396,1.9526,0.4538,1.4988
6450816,4.3267,2.8191,1.5076
6450551,2.3006,0.7531,1.5475
126565,2.7159,1.1494,1.5664
560326,2.2772,0.6952,1.582
36314,3.8434,2.2523,1.5911
10200390,3.1002,1.4567,1.6434
521106,2.4425,0.7911,1.6513
6918454,4.0308,2.3138,1.717
46943432,3.5552,1.789,1.7661
176167,3.3018,1.4645,1.8373
10113978,2.3533,0.5021,1.8511
24894414,3.1932,1.2996,1.8935
300471,3.2892,1.3942,1.895
24772860,5.8046,3.89,1.9146
46907787,2.5633,0.6097,1.9536
16720766,2.5083,0.5125,1.9958
46844147,2.6061,0.5609,2.0451
11640390,2.6629,0.5736,2.0894
387447,2.8235,0.7162,2.1073
11667893,3.1543,1.0355,2.1188
20635522,3.816,1.6946,2.1214
8249,2.9722,0.8264,2.1458
60750,7.8263,5.6107,2.2156
11282283,2.7877,0.5642,2.2235
644241,3.368,1.1149,2.2532
6445533,3.1883,0.9067,2.2817
25126798,3.1415,0.6053,2.5362
10184653,3.9448,1.1548,2.79
446378,6.8626,3.9498,2.9128
4993,3.3998,0.3945,3.0053
3062316,6.4126,2.9366,3.476
5329102,7.6614,4.1598,3.5016
